Time_loaded, Sum,, Count, Average
2024-33-07/15/24 12:33:13, 48982.8756,1,48982.8756
2024-33-07/15/24 12:33:15, 97965.7512,2,48982.8756
2024-40-07/15/24 12:40:29, 146835.3373,3,48945.112433333336
2024-41-07/15/24 12:41:11, 195730.01200000002,4,48932.503000000004
